"event_title","event_description","event_room","event_start_day","event_start_time","event_end_day","event_end_time","event_type","event_age_limit"
"Pre-Reg Pick Up & Mixer/Social (Friday)","Badge Pre-Reg Pick Up + a chance to meet and get to know fellow con-goers.","George Nakano Theatre","6/13/25","15:00","6/13/25","21:00","Convention",""
"ARTISTS & VENDORS Pre-Reg (Friday)","Badge Pre-Reg Pick Up for Artists and Vendors ONLY.","Toyota Hall","6/13/25","15:00","6/13/25","21:00","Convention",""
"Badge Purchaes & Pre-Reg Pickup (Saturday)","Badge purchasing and pre-reg pickup will happen all day throughout Saturday at the George Nakano Theatre.","George Nakano Theatre","6/14/25","9:00","6/14/25","19:00","Convention",""
"Badge Purchaes & Pre-Reg Pickup (Sunday)","Badge purchasing and pre-reg pickup will happen all day throughout Sunday at the George Nakano Theatre.","George Nakano Theatre","6/15/25","9:00","6/15/25","17:00","Convention",""
"Doors Open (Saturday)","TouhouFest's Saturday start time is 9:00AM.","All","6/14/25","9:00","6/13/25","9:00","Convention",""
"Opening Ceremonies","Welcome to TouhouFest! MikoTan and several others on TouhouFest staff will start things off with a few opening remarks.","Torino Plaza","6/14/25","11:00","6/14/25","11:30","Convention",""
"Neo Sanctum Performance","Neo Sanctum, a Canadian Touhou music circle, will be hosting a small performance involving songs they've arranged. Stop by to hear some quality tunes!","Torino Plaza","6/14/25","15:00","6/14/25","16:00","Performance",""
"Holmgang ov Gensokyo Performance","H.O.G. is an international extreme touhou metal collaborative sampler held annually every year. Featuring artists and circles from everywhere, we promise to bring only the best arrangements possible. 

We will be performing a compilation of tracks from Holmgang Ov Gensokyo, as well as some specific circle tracks from our projects. All Touhou arrangements. ","Torino Plaza","6/14/25","16:30","6/14/25","17:30","Performance",""
"YONA Performance","3 piece instrumental progressive metal covering Touhou songs. Heavily video game & anime inspired. Our set consists of 5 Touhou covers picked from this [metal Touhou compilation EP I released last year.](https://youtu.be/GygnB6Vb6Y4?si=aLnnRiiXu0f5FlWN)","Torino Plaza","6/14/25","18:00","6/14/25","18:30","Performance",""
"Gensokyo You Can! Moriya Shrine: The Gateway to Touhou Pilgrimage","Despite Gensokyo is dangerous for humans, Touhou Pilgrimage is a great channel to safely explore many of its inspirations. Did you know Lake Suwa, home of the Moriya Trio, is an excellent introduction?

The panel will briefly cover the locale and culture that inspired the Moriya Shrine and its residents, Fandom Presences and Fanwork References.","Assembly Hall","6/14/25","10:00","6/14/25","11:30","Panels",""
"Fumology 103","A deep(ish), comedy-centric, interactive panel into everything Fumo, and the biggest one yet! You don't have to have been to 101 or 102, as we'll cover the same base material as we did there, but move into completely new territory that hasn't been covered before, with possibly some announcements? And we may or may not (will) have a giveaway too ;)

If you have something to do during the panel, you're welcome to join us any time! ","Assembly Hall","6/14/25","12:00","6/14/25","13:30","Panels",""
"""Even A Monkey Can Draw Anime Girls! How Touhou 1draw Can Improve Your Art Skills""","Does looking at pretty Touhou art make your heart yearn, wishing you could draw like that? Struggled to get started? Lost motivation? Don't worry, Jennifer Raye has been there too, and she'll show you how to fight your evil brain demons and start drawing pretty anime girls right here, right now! Simple drawing supplies will be provided, but bringing your own is recommended.","Assembly Hall","6/14/25","14:00","6/14/25","15:30","Panels",""
"Cosplay Contest Pre-Judging","Preliminary judging for Cosplay Contest participants prior to the main event. (Note: regular attendees should attend the Cosplay Contest at 5:00PM, *not* this event)","Assembly Hall","6/14/25","16:00","6/14/25","17:00","Cosplay",""
"Cosplay Contest","A amazing showcase of some *very* talented and creative Touhou cosplayers! This event breaks down as follows:
- Seating: 5:00 PM - 5:30 PM
- Cosplay Contest: 5:30 PM - 7:00 PM","Assembly Hall","6/14/25","17:00","6/14/25","19:00","Cosplay.Performance",""
"M-1 Garand Prix Showing","","Assembly Hall","6/14/25","19:30","6/14/25","21:00","Screening",""
"Artist Alley Open (Saturday)","Come visit Artist Alley and purchase a variety of prints, charms, and other fanworks from local artists! Artist Alley opens Saturday at 9:00 AM.","Ken Miller","6/14/25","10:00","6/14/25","10:00","Convention",""
"Artist Alley Close (Saturday)","Artist Alley closes on Saturday at 6:00 PM. We'll see you again in Artist Alley on Sunday at 9:00 AM!","Ken Miller","6/14/25","18:00","6/14/25","18:00","Convention",""
"TouhouFest LIVE Concert","","James R. Armstrong Theatre","6/14/25","19:00","6/14/25","22:30","Guest.Performance",""
"Guest Meet & Greet","An opportunity to meet the very talented guests featured at the TouhouFest LIVE Concert and get autographs as desired!","James R. Armstrong Theatre","6/14/25","22:30","6/15/25","0:30","Guest",""
