name,image,location,website,description
Lyrica Live,lyricalive,Booth A1,https://lyricalive.carrd.co/,
GuruGuruMaru,gurugurumaru,Booth A2,https://x.com/GuruGuruMaru_?t=LpCCKsbKLTIa_WDah5Ehyw&s=09,
Xiaobbinc,xiaobb,Booth A3,www.instagram.com/xiaobbinc,
Umaholics Anonymous,umaholics,Booth A4,https://umaholics-anonymous.carrd.co/,
Netcavy Records,netcavy,Booth B1,https://netcavy.net/portfolio,
Neo Sanctum,neosanctum,Booth B2,https://x.com/NSanctum,
crescentia (11th hour),crescentia,Booth B3,https://crescentia.bandcamp.com/album/touhou-orchestral-suite-grand-fantasy,
Dreaming Chimera,dreamingchimera,Booth B4,https://dreamingchimera.carrd.co/,
ASAZEi,asazei,Booth B5,https://x.com/ASAZEi_art,
quowl,quowl,Booth B6,https://quowl.carrd.co/,
Juliana Egg,julianaegg,Booth C1,instagram.com/juliana_egg,
MARLOWEMEMO,MARLOWEMEMO,Booth C2,https://www.instagram.com/marlowememo/,
limpachi,limpachu,Booth C3,https://twitter.com/limpachu,
sirmasterknight (Meiki),meiki,Booth C4,https://sirmasterknight.carrd.co/,
NekoMofu Jinja,nekomofu,Booth C5,https://www.instagram.com/schemanineko/,
Grillboss Co.,grillboss,Booth C6,https://egguv.carrd.co/,
Partyu,partyu,Booth D1,https://twitter.com/_partyu,
Kureihii,kurehii,Booth D2,https://www.instagram.com/kureihii/?hl=en,
BiscayBiscuits,biscaybiscuits,Booth D3,https://www.instagram.com/themoondruid?igsh=NGVhN2U2NjQ0Yg==,
Chenna Kitty,chennakitty,Booth D4,https://chennakitty.carrd.co/ ,
haiyun,haiyun,Booth D5,https://www.instagram.com/haiyunee/,
Birnam Hall,birnam,Booth D6,https://www.instagram.com/birnamhall/,
Tama Tama Shop,tama,Booth E1,https://tamamagatama.carrd.co,
GruvysGudies,gruvysgudies,Booth E2,https://www.instagram.com/gruvyboi/,
LazyDayTee,lazydaytee,Booth E3,instagram.com/LazyDayTee,
BAPY Society,bapysociety,Booth E4,https://bapysociety.carrd.co/#gallery,
jellisstuf,jellistuff,Booth E5,https://www.etsy.com/shop/JellisStuff,
Bark Snarl,barksnarl,Booth E6,https://barksnarl.myshopify.com/,
Girutea,girutea,Booth F1,https://girutea.storenvy.com/,
Duckyafterdark,duckyafterdark,Booth F2,www.duckyafterdark.com,
Feeya Art,feeyaart,Booth F3,https://x.com/feeyaowo,
Melty Uchuu,melty,Booth F4,https://meltyportfolio.carrd.co/,
cynicalfries / blaidmiracle,cynicalfries,Booth F5,https://www.pixiv.net/en/users/97844354/artworks,
Suzunannn ,suzukann,Booth G1,https://x.com/suzukannn,
Ah'Wakaranai,ahwakanarai,Booth G2,https://x.com/SWatanabe_yo,
ScaryYandere,scaryyandere,Booth G3,https://x.com/ScaryYandere,
notnoe_,nono,Booth G4,https://x.com/notnoe_,
Archanciel's Magic Shop (LMG),leminigensokyo,Booth G5,https://www.facebook.com/LeMiniGensokyo/,
tboddy,tboddy,Booth G6,https://tboddy.itch.io/,
Moguman,moguman,Booth G7,https://x.com/_MoguMan_/media,
Minomino,minimono,Booth G8,Instagram.com/minominoten,
Yu Long (Dichroic Purpilion),mystia,Booth H1,https://store.steampowered.com/app/1584090/Touhou_Mystias_Izakaya/,
CodyYuki,codyyuki,Booth H2,https://x.com/CodyYuki_,
remirii,remirii,Booth H3,https://remirii-portfolio.weebly.com/illustrations.html,
G8KP,g8kp,Booth H4,https://g8kp.carrd.co/#portfolio,
LinnyUwU,linnyuwu,Booth H5,https://x.com/LinnyUwU,
mintchokuma / mcsquiddies,emby,Booth H6,https://x.com/mcsquiddies,
Vampy Land,vampyland,Booth H7,https://vampy.land/portfolio,
Panchamon,panchamon,Booth H8,https://bsky.app/profile/panchamon.bsky.social,
BRW,BRW,Booth H9,https://twitter.com/hnbryal,
CSSRart,cssrart,Booth H10,https://x.com/CssRart,
