name,image,location,website,role
Siliconcat,siliconcat,V1,https://siliconcat.tumblr.com/tagged/my%20art,Artist
Matcha,matcha,V2,https://x.com/matchach?lang=en,Artist
Artist Collaboration Experience,ace,V3,https://www.artcollabexp.com/,Artist
Touhou Hobby Society,placeholder,V4,,Merch
Idea Factory Intl.,ideafactory,V5 & V6,https://ifi.games/,Games
Kotori's Shop by Y,kotori,V7,https://www.instagram.com/kotoris_shop_by_y/,Merch
FMAnime Shop,fmanime,V8,https://www.fm-anime.com/,Cosplay
TouhouFest Merch,touhoufest,V9,https://www.touhoufest.org/store,Merch
TouhouFest Info Booth,touhoufest,V10,https://schedule.touhoufest.org,Info
KinoKreations,kinocreations,V11 & V12,https://kinokreations.myshopify.com/,Artist
Seraphim Complex,serapim,V13,https://seraphimcomplex.com/,Merch
Whimsical Artchive ,whimsicalarchive,V14,https://whimsicalartchive.carrd.co/,Artist
Stuffy Rabbit,placeholder,V15,,Vendor
Brainjuice Art,brainjuice,V16,https://www.brainjuiceart.com/,Artist
SunameriDrill,sunameridrill,V17,https://www.instagram.com/sunameridrill/,Vendor
