event_title,event_description,event_room,event_start_day,event_start_time,event_end_day,event_end_time,event_type,event_age_limit
Pre-Reg Pick Up & Mixer/Social,Badge Pick Up and informal con gathering,All,4/28/23,15:00,4/28/23,19:00,Convention,
Opening Ceremonies,Event to kick off TouhouFest,Torino Plaza,4/29/23,10:30,4/29/23,11:00,Convention,
Coobie (DJ),Coobie (DJ),Torino Plaza,4/29/23,11:00,4/29/23,12:00,DJ,
FlautistAcacia,Performance by FlautistAcacia,Torino Plaza,4/29/23,12:00,4/29/23,13:00,Performance,
Ryuko (DJ),Ryuko (DJ),Torino Plaza,4/29/23,13:00,4/29/23,14:00,DJ,
Maid Academy Cafe,Performance by Maid Academy Cafe,Torino Plaza,4/29/23,14:00,4/29/23,15:00,Performance,
Coobie (DJ),Coobie (DJ),Torino Plaza,4/29/23,15:00,4/29/23,16:00,DJ,
Fumo Meet Up,Meet up/photoshoot dedicated to fumos,Torino Plaza,4/29/23,16:00,4/29/23,17:00,Photoshoot,
Doors Open,Time for con opening,All,4/29/23,9:00,4/29/23,9:30,Misc,
Lyrica Live Q&A,Q & A with popular YouTuber Lyrica Live,Assembly Hall,4/29/23,11:00,4/29/23,12:00,Guest,
Punderfullll and Mystical Lala Q&A,Q&A with popular cosplays Punderfullll and Mystical Lala,Assembly Hall,4/29/23,13:00,4/29/23,14:00,Guest,
Strange Content Creators from Outer World: Presented by Megapig and Delta Pie,"""Megapig9001 (Bad Apple Explained) and Delta Pie (TouhouHijack) will be presenting on their experiences creating different types 
of content (Videos, Hijacks, Fangames, and more), giving tips on starting out, and answering questions.""					
					",Assembly Hall,4/29/23,14:00,4/29/23,15:00,Panel,
Odyssey Eurobeat Q&A,Q & A with popular Touhou Eurobeat arranger Odyssey,Assembly Hall,4/29/23,15:00,4/29/23,16:00,Guest,
Cosplay Contest,Seating starts at 6:30PM,Assembly Hall,4/29/23,18:30,4/29/23,20:00,Convention,
Odyssey Eurobeat,"A special performance by Odyssey, prominent arranger and vocalist from the esteemed Touhou Eurobeat circle A-ONE!",Assembly Hall,4/29/23,20:00,4/29/23,21:30,Performance,
Odyssey Eurobeat Meet and Greet/Signing,Meet with + get autographs from Odyssey,Assembly Hall,4/29/23,22:00,4/29/23,23:00,Guest,
Cosplay Meetup: The Devil's Mansion,Photoshoot for cosplayers from Touhou 6,Pine Wind Garden,4/29/23,12:00,4/29/23,13:00,Photoshoot,
Artist Alley Open,Artist alley open for buisness after this time,Ken Miller,4/29/23,9:00,4/29/23,9:00,Convention,
Artist Alley Close,Artist alley closes for the day,Ken Miller,4/29/23,18:00,4/29/23,18:00,Convention,
Cosplay Meetup: Go to hell!,Photoshoot for cosplayers from Touhou 15,Pine Wind Garden,4/29/23,13:00,4/29/23,14:00,Photoshoot,
Cosplay Meetup: Lunar Landing in the Bamboo Forest,Photoshoot for cosplayers from Touhou 8,Pine Wind Garden,4/29/23,14:00,4/29/23,15:00,Photoshoot,
Cosplay Meetup: Netherworld,Photoshoot for cosplayers from Touhou 7,Pine Wind Garden,4/29/23,15:00,4/29/23,16:00,Photoshoot,
Punderfullll Photoshoot,Photoshoot with Punderfullll,Pine Wind Garden,4/29/23,11:00,4/29/23,12:00,Photoshoot,
Tournament Signups + Check ins,Check in for TouhouFest gaming tournaments,Toyota Hall,4/29/23,9:30,4/29/23,11:00,Gaming,
Tournament Wave A,Tournament Wave A,Toyota Hall,4/29/23,11:00,4/29/23,13:00,Gaming,
Tournament Wave B,Tournament Wave B,Toyota Hall,4/29/23,13:30,4/29/23,15:30,Gaming,
Tournament Wave C,Tournament Wave C,Toyota Hall,4/29/23,15:30,4/29/23,17:30,Gaming,
Tournament Wave D,Tournament Wave D,Toyota Hall,4/29/23,18:00,4/29/23,20:00,Gaming,
Free Play,Free Play,Toyota Hall,4/29/23,20:00,4/29/23,22:30,Gaming,
Cook Like The Head Maid! Touhou Inspired Dishes,"This panel will be about Japanese dishes that are referenced in the Touhou franchise,  how to make a few, and other Touhou character inspired dishes. We'll chat about some of the food references in these series.",Garden Room B,4/29/23,11:00,4/29/23,12:00,Panel,
"Fumology: History, Lore, and More On FumoFumo","A deep(ish) dive onto the history of Touhou fumos, done with comedic intent, 
and some stories involving fumos and other Touhou plushies. We’ll be going down the Fumo iceberg, basically.",Garden Room B,4/29/23,13:00,4/29/23,14:00,Panel,
